title,year
Bandslam,
Bachpan,1945
View the content page [c],
Edit section: Bau-Baz,
Backtrack,
Back Door to Hell,
Biloxi Blues,
Babs,1920
Braveheart,
Babul,1950
Bhadra,2011
Bigger Than Life,
The Boondock Saints,
Batman: Gotham by Gaslight,
Bedhead,
The Baader Meinhof Complex,
Balaclava,
The Big Heat,
Bedknobs and Broomsticks,
The Barber of Seville,1948
Blind Spot,2018
Birds Anonymous,
Beethoven's 4th,
The Bad News Bears,
Blind Shaft,
Back Trail,
Blade of Fury,
Bismarck,1940
Barb Wire,1996
Bloody New Year,
The Body,2018
The Balcony,
Blackhat,
Batman Unlimited: Animal Instincts,
Bride of Chucky,
The Bamboo Blonde,
Barfly,
Bees Saal Baad,1962
Bhadram Koduko,
Beyond the Time Barrier,
Big Stan,
Belle of the Nineties,
Bedrooms and Hallways,
Blue Skies,1946
Bachelor Girl,
The Brothers Grimm,
Blade II,
The Blue Umbrella,2013
Beauty and the Beast,2009
Bonneville,
Bayaning 3rd World,
Blind Fury,
Babe Comes Home,
The Bravados,
Born Yesterday,1993
Saga of a Star World,
Discussion about edits from this IP address [n],
Bangarwadi,
The Beat Generation,
Brides,2004
Buffalo Soldiers,2001
Barbie in the 12 Dancing Princesses,
Baala Bandana,
Baari,
The Beautician and the Beast,
Belle,2021
The Best Years of Our Lives,
Blithe Spirit,2020
Babes in Arms,
The Bay Boy,
Badlands,
Boardinghouse,
Bandishala,
Benji the Hunted,
Beyond the Door,1982
Black Beauty,1971
Burn After Reading,
Baghban,1938
Baiju Bawra,
"Bon Voyage, Charlie Brown",
Edit section: Bb-Bc,
The Battle,1934
Beverly Hills Cop II,
Broker,2022
Blades,
The Birthday Party,1931
Bangaru Pichika,
Black Magic,1987
Born in Flames,
Bittersweet Memories,
Brain Damage,
Black Like Me,
Babysitting,
Bajrangbali,
Bonjour Monsieur Shlomi,
Black Widow,2010
Babuji Ek Ticket Bambai,
Blood Brothers,1935
Bambi II,
The Black Hole,2016
"Brother Sun, Sister Moon",
Bayo,
Blaze,2018
Benedetta,
Bird,1988
Banal,2019
Bloodhounds of Broadway,1989
Big Business,1929
The Blueberry Hunt,
The Burmese Harp,1956
Better Living Through Circuitry,
Baabul,2006
The Burning,1981
Bob & Carol & Ted & Alice,
List of films: N–O,
The Bubble,2006
Broken City,
Below,
Ben Hur,2003
Bend of the River,
Black Mask,
Betrayed,1988
A Beautiful Day in the Neighborhood,
Boxcar Bertha,
The Bone Collector,
Big Wednesday,
Bachelor Games,
The Boy Who Harnessed the Wind,
The Bay of Silence,
Bite Me,2019
Bangarada Mane,
Blue Sky,1994
Bareilly Ki Barfi,
Baywatch the Movie: Forbidden Paradise,
Bubba Ho-tep,
Bach and Broccoli,
Barabbas,1961
Bala Gau Kashi Angai,
Bandit King of Texas,
The Big Mouth,
Blood Hunters,
Bulletproof,1996
Battle of the Bulge,1991
Blitz,
Babul Ki Galiyaan,
Before I Go to Sleep,
The Barber of Seville,1944
Basanti,2000
Beast of the Yellow Night,
Barking at the Stars,
Bajre Da Sitta,
Bangers,1995
Becoming Astrid,
Bed and Breakfast,1930
Bio-Dome,
Black Adam,
Brutus,2016
Being Flynn,
La Bête,
Babang Luksa,
Bedtime Story,1964
Before the Fall,2004
Bhagawan,2004
Big Bullet,
Beena,
Bakit Lahat ng Gwapo may Boyfriend?,
Book of Love,2016
Between Two Women,1937
Bad Company,1986
Black Beauty,1933
Blood for Dracula,
Baap Re Baap,1955
Behold My Wife!,1934
Babes in Toyland,1961
Big Trouble in Little China,
A Boy Named Sue,
Brother Rat,
Beer,
Edit section: Bh,
The Boys Next Door,1996
The Black Box,2005
Special:EditPage/Template:List of films by letter,
Broadcast News,
Bhagyajathakam,
Burning,2018
Brad's Status,
Baharon Ke Sapne,
The Black Windmill,
Bakul Priya,
Betrayal,1932
Bed of Lies,
Beauty and the Beast,1987
Bare-Fisted Gallagher,
Barbie & the Diamond Castle,
Baalu Belagithu,
Bag of the Collector,
Beeveema,
Becky,1927
Bugsy,
Body,2015
Beyond the Law,1993
Before Marriage,
The Blood of Jesus,
The Battle of the Rails,
Bangaru Manishi,
Bella,2006
Burnt Money,
Bach the Millionaire,
Barefoot Sultan,
Benji,
La Bohème,1965
Banta ng Kahapon,
Be My Slave,
Bartleby,1976
Bounce,
The Blue Lagoon,1949
Bastards,2013
Bad Girl,2012
Breathe,2014
Bangalore 560023,
Baaghi,
Borderland,2007
Blind Mountain,
The Beastmaster,
Bliss,1917
Baader,
Boarding House Groonen,
The Borrowers,2011
The Battle for Oil,
Brokeback Mountain,
Breakfast on Pluto,
"Babe, I Love You",
Ballistic: Ecks vs. Sever,
Bala Nagamma,1981
Blue Velvet,
Baby Doll,1916
The Bourne Legacy,
The Band Wagon,
Beyond Borders,
Babak and Friends,
Blank Check,
Blood and Sand,1922
Broken,2005
The Brink,2017
Bride of the Monster,
Bansuri Guru,
The Brave Archer 3,
Backlash,1986
Baghdad Texas,
Help:Category,
The Bed Sitting Room,
Bat Thumb,
The Big Wheel,
Baa Baaa Black Sheep,
Bangaru Panjaram,
A Bittersweet Life,
Bowfinger,
Broadway Melody of 1938,
Billy the Kid,1930
Baba Sathya Sai,
Beauty and the Beast: The Enchanted Christmas,
Bad Teacher,
Brazil,1985
Batman: Mystery of the Batwoman,
Berlin Alexanderplatz,2020
Bloody Doll,
The Bride,2017
Blaze,1989
Blind,2007
Bodies Bodies Bodies,
Bayonet,1936
The Big Lebowski,
A Battle of Wits,1912
Les Blanchisseuses,
Black and White,1999
Edit section: Bac,
Basket Case,
Babylon,2022
Happiness,1965
Boys from the Streets,
Barbary Coast Bunny,
Big Shot's Funeral,
Buffalo Soldiers,1997
Berlin: Symphony of a Metropolis,
The Ballad of Narayama,1983
The Babysitters,
Bellyfruit,
Be Kind Rewind,
The Brain That Wouldn't Die,
Best Worst Movie,
The Bride Comes Home,
Bachchon Ka Khel,
Butterfly and Flowers,
Barkha,
Bruiser,2000
Bloodsport,
Bandish,1955
The Bathtub,
The Bad Man,1941
Billy Jack Goes to Washington,
The Boys in Company C,
Bye Bye Birdie,1963
The Big Show,1960
Blackbird,2018
Bobby Fischer Against the World,
Benediction,
"Be Water, My Friend",
Batman,1989
Baba Kalyani,
Billy Budd,
Body of Evidence,1988
The Boondock Saints II: All Saints Day,
Barbie: Fairytopia,
Bambaiwali,
Blade,1973
Boys Don't Cry,2000
Edit section: Br,
Bring Him to Me,
List of films: H,
Barbarella,
Blood In Blood Out,
Babulugaadi Debba,
Blood from the Mummy's Tomb,
The Bunny Game,
Birdemic 2: The Resurrection,
Bastille Day,1933
The Boys,1962
The Brothers,1979
Bagavathi,
Edit section: Bao-Bar,
Black Holes,
Breakthrough,1986
Bachelor Brides,
The Beast in the Jungle,
Black Mass,
Big Fan,
Bedazzled,2000
Back Door Channels: The Price of Peace,
Bleach: Hell Verse,
Big Bug Man,
List of films: J–K,
Bangalore Days,
Blockers,
The Bath in the Barn,1956
Breathless,1960
The Battle of the Somme,
Bhagwan Bharose,
Balto II: Wolf Quest,
Baby,2000
The Bay of Death,
Bitter Springs,
"Bushido, Samurai Saga",
Bequest to the Nation,
Baa Baa Land,
Baby Boom,
Bandhobi,
The Battle for Barking,
The Bye Bye Man,
Barmaid,
A Boy Called Hate,
"Batman: The Long Halloween, Part One",
30 for 30,
Bedevil,
Before Anything You Say,
The Blood on Satan's Claw,
Buster,
Bakit Kinagat ni Adan ang Mansanas ni Eba?,
Baring It All,
Before Dawn,
The Big Bounce,1960
The Big Bus,
Battle of Britain,
La Bestia in calore,
Bayonet,2018
The Book of Vision,
Bodyguard Kiba,1993
Black Chicks Talking,
The Bubble,1966
Blood Simple,
Babai Hotel,
Blood Brothers,1975
Black,2005
Banarasi Babu,1997
Babylon,1980
The Bar,
Beyond the Clouds,1995
The Broken,
Beezy Bear,
Bird,2017
Blood and Black Lace,
Blood and Bone,
Back of Beyond,
Broadway Danny Rose,
Breezy,
Before I Wake,1955
Bloodhounds of Broadway,1952
Ator 2 - L'invincibile Orion,
Blue Lips,
Bezubaan,
The Brothers,2001
Broadway Melody of 1936,
Bazaar E Husn,
The Battle of Kerzhenets,
The Border,1996
List of films: M,
A Bill of Divorcement,1940
Black Beauty,1921
Brotherhood of Blades,
Be Vaghte Talagh,
The Backwoods,
The Border,2007
Bogus,
The Butcher Boy,1997
Baby Hands,
Batya,
Body Parts,
The Box,2007
Babina,
The Betrayed,1993
Bulldog Drummond's Third Round,
Beirut,
Before Sunrise,
Bettie Page: Dark Angel,
Beautiful Boxer,
Band of Outsiders,
Baa Nanna Preethisu,
Big Red,
The Blob,
Boyhood,2014
Bee at the Beach,
Basement Jack,
Babai Abbai,
Beyond Re-Animator,
The Babadook,
Balala the Fairies: Princess Camellia,
Baby Thief,
Bar 20 Rides Again,
Big Time Movie,
Balagam,
Barbie: The Princess & the Popstar,
The Big Bounce,2004
The Brontë Sisters,
Born to Fight,1989
Bad Guys Always Die,
Bashful,
Boonie Bears: Back to Earth,
Baise-moi,
Before Sundown,
The Battle at Lake Changjin II,
Brothers,2017
Brigadoon,
Beyond Hatred,
Bigfoot,2009
Bachelor Party,2012
Baffled!,
Band Master,
Baaz,1953
Bag It,
Being the Ricardos,
The Book of Esther,
Born to Win,
Backlash,1956
The BFG,2016
Black Dynamite,
Beshkempir,
Brothers,1929
The Boys Next Door,1985
The Blue Bird,1940
Beloved,2011
Bedara Kannappa,
The Bat People,
"Baree, Son of Kazan",1918
Before I Disappear,
Blackenstein,
The Bingo Long Traveling All-Stars & Motor Kings,
Bateau-mouche sur la Seine,
Best of the Best,1989
Brain Donors,
Bad Boys,
Bad Man's Bluff,
Bus Stop,2012
Bhageeratha,
The Boogeyman,1980
The Bostonians,
Babes in the Woods,
Babe's School Days,
Because of Winn-Dixie,
Bangers,1999
The Buccaneer,1958
Breakthrough,2019
Babu Baga Busy,
The Boxing Kangaroo,
Category:Dynamic lists,
"Bon Cop, Bad Cop",
Black Widow Business,
Barefoot,2014
Back to Bataan,
Bitch Ass,
The Blue Veil,1942
The Brotherhood of the Bell,
Breakfast at Tiffany's,
The Boys from Brazil,
Baava Baamaida,
Badger's Green,1949
Bara,1982
Edit section: Bei–Bez,
Bamse and the Witch's Daughter,
Banana Joe,
Beatrice Wood: Mama of Dada,
Billy Madison,
Barnaby Rudge,
Buffet Froid (film),
Bandidas,
Ballad of the Cart,
Bartok the Magnificent,
